1,DEE-RE-JP-AII,2,U,,,,,,,,,,
217,MKH,MKH INN DIST,500,20,2724.6117,7637.1515,S,333.44,26,E,E,E,STR
218,MKH,MKH HOME,500,20,2724.0887,7637.1462,S,333.44,7,E,E,E,STR
219,MKH,MKH STR,500,20,2723.4284,7637.1383,S,333.44,11,E,E,E,STR
220,+,L XING:128,500,20,2723.2891,7637.1301,S,333.44,9,E,E,E,STR
221,MKH,MKH ADV STR,500,20,2723.1449,7637.1347,S,333.44,2,E,E,E,STR
222,+,GATE SIG:129,500,20,2722.9282,7637.1226,S,333.44,4,E,E,E,STR
223,+,L XING:129,500,20,2722.8243,7637.1233,S,333.44,9,E,E,E,STR
224,+,PSR:75KMPH,500,20,2721.8838,7637.1101,S,333.44,44,E,E,E,STR
225,+,L XING:130,500,20,2721.3984,7637.2422,S,333.44,9,E,E,E,STR
226,+,PSR:80KMPH,500,20,2720.7878,7637.2344,S,333.44,44,E,E,E,STR
227,DGW,DGW DIST,500,20,2720.7548,7637.2351,S,333.44,3,E,E,E,STR
228,DGW,DGW INN DIST,500,20,2720.2495,7637.367,S,333.44,26,E,E,E,STR
229,DGW,DGW HOME,500,20,2719.7121,7637.2452,S,333.44,7,E,E,E,STR
230,+,L XING:132,500,20,2719.5638,7637.2083,S,333.44,9,E,E,E,STR
231,DGW,DGW STR,500,20,2719.0587,7637.0959,S,333.44,11,E,E,E,STR
232,DGW,DGW ADV STR,500,20,2718.8638,7637.0515,S,333.44,2,E,E,E,STR
233,+,GATE SIG:134,500,20,2718.2512,7636.9117,S,333.44,4,E,E,E,STR
234,+,L XING:134,500,20,2718.0591,7636.8681,S,333.44,9,E,E,E,STR
235,DGW,INN DIST,500,20,2717.7155,7636.794,S,333.44,26,E,E,E,STR
236,+,GATE SIG:136,500,20,2717.1794,7636.6694,S,333.44,4,E,E,E,STR
237,+,L XING:136,500,20,2717.032,7636.6334,S,333.44,9,E,E,E,STR
238,RHG,RHG DIST,500,20,2716.2996,7636.4702,S,333.44,3,E,E,E,STR
239,.,DJ OPEN,240,20,2716.1443,7636.4336,S,333.44,24,E,E,E,STR
240,RHG,RHG INNR DIST,500,20,2715.7469,7636.3454,S,333.44,26,E,E,E,STR
241,+,PSR:110KMPH,500,20,2715.2493,7636.2345,S,333.44,44,E,E,E,STR
242,RHG,RHG HOME,500,20,2715.1646,7636.2132,S,333.44,7,E,E,E,STR
243,+,L XING:140,500,20,2714.4672,7636.4204,S,333.44,9,E,E,E,STR
244,RHG,RHG STR,500,20,2714.4012,7636.4479,S,333.44,11,E,E,E,STR
245,RHG,RHG ADV STR,500,20,2714.2114,7636.5197,S,333.44,2,E,E,E,STR
246,+,GATE SIG:142,500,20,2713.852,7636.6635,S,333.44,4,E,E,E,STR
247,+,L XING:142,500,20,2713.7337,7636.719,S,333.44,9,E,E,E,STR
248,+,PSR:105KMPH,500,20,2713.7541,7636.7079,S,333.44,44,E,E,E,STR
249,GATE,GATE DIST,500,20,2712.742,7637.0987,S,333.44,34,E,E,E,STR
250,+,PSR:110KMPH,500,20,2712.489,7637.1971,S,333.44,44,E,E,E,STR
251,GATE,INNR DIST,500,20,2712.2129,7637.2518,S,333.44,26,E,E,E,STR
252,+,GATE SIG:145,500,20,2711.7123,7636.9947,S,333.44,4,E,E,E,STR
253,+,L XING:145,500,20,2711.6136,7636.902,S,333.44,9,E,E,E,STR
254,+,HALT:SRRG,500,20,2711.5716,7636.8674,S,333.44,5,E,E,E,STR
255,GATE,INNR DIST,500,20,2711.4474,7636.7648,S,333.44,26,E,E,E,STR
256,+,GATE SIG:146,500,20,2711.0202,7636.3866,S,333.44,4,E,E,E,STR
257,+,PSR:110KMPH,500,20,2710.989,7636.3665,S,333.44,44,E,E,E,STR
258,+,L XING:146,500,20,2710.9188,7636.2963,S,333.44,9,E,E,E,STR
259,GATE,GATE DIST,500,20,2710.7174,7636.03,S,333.44,34,E,E,E,STR
260,+,PSR:110KMPH,500,20,2710.4369,7635.6138,S,333.44,44,E,E,E,STR
261,GATE,INNR DIST,500,20,2710.3834,7635.5359,S,333.44,26,E,E,E,STR
262,+,GATE SIG:147,500,20,2709.9875,7635.1303,S,333.44,4,E,E,E,STR
263,+,L XING:147,500,20,2709.8764,7635.0166,S,333.44,9,E,E,E,STR
264,+,PSR:110KMPH,500,20,2709.6883,7634.8348,S,333.44,44,E,E,E,STR
265,BU,BU HOME,500,20,2709.4702,7634.6722,S,333.44,7,E,E,E,STR
266,BU,BU STR,500,20,2708.8244,7634.4704,S,333.44,11,E,E,E,STR
267,BU,BU ADV STR,500,20,2708.6542,7634.4183,S,333.44,2,E,E,E,STR
268,+,PSR:110KMPH,500,20,2706.9288,7633.8813,S,333.44,44,E,E,E,STR
269,+,HALT:GLNA,500,20,2706.2246,7633.8933,S,333.44,5,E,E,E,STR
270,GATE,GATE DIST,500,20,2705.5465,7633.9542,S,333.44,34,E,E,E,STR
271,BU,INNR DIST,500,20,2704.9877,7634.0069,S,333.44,26,E,E,E,STR
272,.,DJ OPEN,240,20,2704.6659,7634.0354,S,333.44,24,E,E,E,STR
273,+,GATE SIG:156,500,20,2704.4378,7634.0592,S,333.44,4,E,E,E,STR
274,+,L XING:156,500,20,2704.3444,7634.0693,S,333.44,9,E,E,E,STR
275,BKI,BKI INNR DIST,500,20,2703.7264,7634.126,S,333.44,26,E,E,E,STR
276,BKI,BKI HOME,500,20,2703.1603,7634.179,S,333.44,7,E,E,E,STR
277,+,L XING:157,500,20,2702.8898,7634.2025,S,333.44,9,E,E,E,STR
278,+,PSR:80KMPH,500,20,2702.801,7634.2123,S,333.44,44,E,E,E,STR
279,+,PSR:60KMPH,500,20,2702.3277,7633.946,S,333.44,44,E,E,E,STR
280,BKI,BKI STR:PF3,500,20,2702.1118,7633.6842,S,333.44,11,E,E,E,STR
281,+,L XING:160,500,20,2701.9318,7633.4718,S,333.44,9,E,E,E,STR
282,BKI,BKI ADV STR,500,20,2701.9001,7633.4331,S,333.44,2,E,E,E,STR
283,+,PSR:110KMPH,500,20,2701.5847,7633.0605,S,333.44,44,E,E,E,STR
284,ARNA,ARNA DIST,500,20,2701.3674,7632.4977,S,333.44,3,E,E,E,STR
285,ARNA,INN DIST,500,20,2701.1863,7631.8849,S,333.44,26,E,E,E,STR
286,ARNA,ARNA HOME,500,20,2700.852,7631.3894,S,333.44,7,E,E,E,STR
287,+,L XING:161,500,20,2700.7943,7631.3185,S,333.44,9,E,E,E,STR
288,+,PSR:115KMPH,500,20,2700.5972,7631.0166,S,333.44,44,E,E,E,STR
289,ARNA,ARNA STR,500,20,2700.4643,7630.8008,S,333.44,11,E,E,E,STR
290,ARNA,ARNA ADV STR,500,20,2700.3936,7630.5775,S,333.44,2,E,E,E,STR
291,ARNA,INN DIST,500,20,2700.2315,7630.1182,S,333.44,26,E,E,E,STR
292,+,L XING:163,500,20,2700.2152,7630.0698,S,333.44,9,E,E,E,STR
293,+,GATE SIG:164,500,20,2700.0409,7629.5919,S,333.44,4,E,E,E,STR
294,+,L XING:164,500,20,2659.9682,7629.4119,S,333.44,9,E,E,E,STR
295,ARNA,INN DIST,500,20,2659.7852,7629.0138,S,333.44,26,E,E,E,STR
296,+,L XING:165,500,20,2659.6749,7628.7595,S,333.44,9,E,E,E,STR
297,+,GATE SIG:166,500,20,2659.5134,7628.4103,S,333.44,4,E,E,E,STR
298,+,L XING:166,500,20,2659.4677,7628.3112,S,333.44,9,E,E,E,STR
299,+,HALT:KVGM,500,20,2659.4527,7628.288,S,333.44,5,E,E,E,STR
300,IB,IBS SIGNAL,500,20,2659.2712,7627.8976,S,333.44,19,E,E,E,STR
301,+,L XING:167,500,20,2659.2025,7627.7339,S,333.44,9,E,E,E,STR
302,+,GATE SIG:168,500,20,2658.9065,7627.0914,S,333.44,4,E,E,E,STR
